,close
213,"[19.724, 19.707]"
214,"[19.707, 19.715]"
215,"[19.715, 19.725]"
216,"[19.725, 19.736]"
217,"[19.736, 19.73]"
218,"[19.73, 19.724]"
219,"[19.724, 19.715]"
220,"[19.715, 19.721]"
221,"[19.721, 19.712]"
222,"[19.712, 19.702]"
223,"[19.702, 19.679]"
224,"[19.679, 19.647]"
225,"[19.647, 19.669]"
226,"[19.669, 19.667]"
227,"[19.667, 19.641]"
228,"[19.641, 19.637]"
229,"[19.637, 19.65]"
230,"[19.65, 19.652]"
231,"[19.652, 19.685]"
232,"[19.685, 19.698]"
233,"[19.698, 19.691]"
234,"[19.691, 19.671]"
235,"[19.671, 19.692]"
236,"[19.692, 19.719]"
237,"[19.719, 19.722]"
238,"[19.722, 19.726]"
239,"[19.726, 19.714]"
240,"[19.714, 19.71]"
241,"[19.71, 19.705]"
242,"[19.705, 19.716]"
243,"[19.716, 19.718]"
244,"[19.718, 19.72]"
245,"[19.72, 19.723]"
246,"[19.723, 19.714]"
247,"[19.714, 19.714]"
248,"[19.714, 19.704]"
249,"[19.704, 19.732]"
250,"[19.732, 19.742]"
251,"[19.742, 19.764]"
252,"[19.764, 19.742]"
253,"[19.742, 19.733]"
254,"[19.733, 19.754]"
255,"[19.754, 19.741]"
256,"[19.741, 19.753]"
257,"[19.753, 19.754]"
258,"[19.754, 19.755]"
259,"[19.755, 19.762]"
260,"[19.762, 19.762]"
261,"[19.762, 19.762]"
262,"[19.762, 19.74]"
263,"[19.74, 19.747]"
264,"[19.747, 19.73]"
265,"[19.73, 19.747]"
266,"[19.747, 19.726]"
267,"[19.726, 19.731]"
268,"[19.731, 19.721]"
269,"[19.721, 19.723]"
270,"[19.723, 19.724]"
271,"[19.724, 19.719]"
272,"[19.719, 19.742]"
273,"[19.742, 19.723]"
274,"[19.723, 19.726]"
275,"[19.726, 19.731]"
276,"[19.731, 19.732]"
277,"[19.732, 19.752]"
278,"[19.752, 19.75]"
279,"[19.75, 19.743]"
280,"[19.743, 19.751]"
281,"[19.751, 19.771]"
282,"[19.771, 19.784]"
283,"[19.784, 19.778]"
284,"[19.778, 19.756]"
285,"[19.756, 19.755]"
286,"[19.755, 19.768]"
287,"[19.768, 19.76]"
288,"[19.76, 19.77]"
289,"[19.77, 19.781]"
290,"[19.781, 19.8]"
291,"[19.8, 19.822]"
292,"[19.822, 19.82]"
293,"[19.82, 19.806]"
294,"[19.806, 19.811]"
295,"[19.811, 19.811]"
296,"[19.811, 19.798]"
297,"[19.798, 19.812]"
298,"[19.812, 19.829]"
299,"[19.829, 19.814]"
300,"[19.814, 19.822]"
301,"[19.822, 19.829]"
302,"[19.829, 19.859]"
303,"[19.859, 19.855]"
304,"[19.855, 19.852]"
305,"[19.852, 19.868]"
306,"[19.868, 19.859]"
307,"[19.859, 19.85]"
308,"[19.85, 19.873]"
309,"[19.873, 19.903]"
310,"[19.903, 19.873]"
311,"[19.873, 19.843]"
312,"[19.843, 19.833]"
313,"[19.833, 19.818]"
314,"[19.818, 19.832]"
315,"[19.832, 19.83]"
316,"[19.83, 19.827]"
317,"[19.827, 19.84]"
318,"[19.84, 19.857]"
319,"[19.857, 19.868]"
320,"[19.868, 19.864]"
321,"[19.864, 19.853]"
322,"[19.853, 19.849]"
323,"[19.849, 19.851]"
324,"[19.851, 19.839]"
325,"[19.839, 19.835]"
326,"[19.835, 19.814]"
327,"[19.814, 19.823]"
328,"[19.823, 19.832]"
329,"[19.832, 19.829]"
330,"[19.829, 19.824]"
331,"[19.824, 19.831]"
332,"[19.831, 19.826]"
333,"[19.826, 19.833]"
334,"[19.833, 19.835]"
335,"[19.835, 19.841]"
336,"[19.841, 19.827]"
337,"[19.827, 19.833]"
338,"[19.833, 19.836]"
339,"[19.836, 19.843]"
340,"[19.843, 19.831]"
341,"[19.831, 19.83]"
342,"[19.83, 19.859]"
343,"[19.859, 19.883]"
344,"[19.883, 19.889]"
345,"[19.889, 19.88]"
346,"[19.88, 19.875]"
347,"[19.875, 19.886]"
348,"[19.886, 19.864]"
349,"[19.864, 19.843]"
350,"[19.843, 19.817]"
351,"[19.817, 19.783]"
352,"[19.783, 19.813]"
353,"[19.813, 19.81]"
354,"[19.81, 19.756]"
355,"[19.756, 19.794]"
356,"[19.794, 19.802]"
357,"[19.802, 19.789]"
358,"[19.789, 19.795]"
359,"[19.795, 19.781]"
360,"[19.781, 19.741]"
361,"[19.741, 19.761]"
362,"[19.761, 19.774]"
363,"[19.774, 19.778]"
364,"[19.778, 19.794]"
365,"[19.794, 19.779]"
366,"[19.779, 19.776]"
367,"[19.776, 19.777]"
368,"[19.777, 19.777]"
369,"[19.777, 19.759]"
370,"[19.759, 19.74]"
371,"[19.74, 19.742]"
372,"[19.742, 19.717]"
373,"[19.717, 19.748]"
374,"[19.748, 19.76]"
375,"[19.76, 19.785]"
376,"[19.785, 19.799]"
377,"[19.799, 19.801]"
378,"[19.801, 19.806]"
379,"[19.806, 19.825]"
380,"[19.825, 19.809]"
381,"[19.809, 19.832]"
382,"[19.832, 19.819]"
383,"[19.819, 19.816]"
384,"[19.816, 19.814]"
385,"[19.814, 19.824]"
386,"[19.824, 19.84]"
387,"[19.84, 19.859]"
388,"[19.859, 19.852]"
389,"[19.852, 19.85]"
390,"[19.85, 19.821]"
391,"[19.821, 19.821]"
392,"[19.821, 19.826]"
393,"[19.826, 19.837]"
394,"[19.837, 19.842]"
395,"[19.842, 19.841]"
396,"[19.841, 19.84]"
397,"[19.84, 19.841]"
398,"[19.841, 19.837]"
399,"[19.837, 19.84]"
400,"[19.84, 19.84]"
401,"[19.84, 19.832]"
402,"[19.832, 19.841]"
403,"[19.841, 19.833]"
404,"[19.833, 19.839]"
405,"[19.839, 19.857]"
406,"[19.857, 19.864]"
407,"[19.864, 19.84]"
408,"[19.84, 19.824]"
409,"[19.824, 19.814]"
410,"[19.814, 19.818]"
411,"[19.818, 19.828]"
412,"[19.828, 19.829]"
413,"[19.829, 19.817]"
414,"[19.817, 19.815]"
415,"[19.815, 19.805]"
416,"[19.805, 19.809]"
417,"[19.809, 19.799]"
418,"[19.799, 19.796]"
419,"[19.796, 19.796]"
420,"[19.796, 19.761]"
421,"[19.761, 19.759]"
422,"[19.759, 19.738]"
423,"[19.738, 19.756]"
424,"[19.756, 19.741]"
425,"[19.741, 19.721]"
426,"[19.721, 19.677]"
427,"[19.677, 19.688]"
428,"[19.688, 19.695]"
429,"[19.695, 19.737]"
430,"[19.737, 19.741]"
431,"[19.741, 19.753]"
432,"[19.753, 19.722]"
433,"[19.722, 19.745]"
434,"[19.745, 19.74]"
435,"[19.74, 19.734]"
436,"[19.734, 19.671]"
437,"[19.671, 19.696]"
438,"[19.696, 19.702]"
439,"[19.702, 19.68]"
440,"[19.68, 19.693]"
441,"[19.693, 19.686]"
442,"[19.686, 19.689]"
443,"[19.689, 19.692]"
444,"[19.692, 19.628]"
445,"[19.628, 19.598]"
446,"[19.598, 19.582]"
447,"[19.582, 19.603]"
448,"[19.603, 19.6]"
449,"[19.6, 19.609]"
450,"[19.609, 19.624]"
451,"[19.624, 19.622]"
452,"[19.622, 19.658]"
453,"[19.658, 19.656]"
454,"[19.656, 19.691]"
455,"[19.691, 19.67]"
456,"[19.67, 19.663]"
457,"[19.663, 19.661]"
458,"[19.661, 19.661]"
459,"[19.661, 19.674]"
460,"[19.674, 19.669]"
461,"[19.669, 19.664]"
462,"[19.664, 19.666]"
463,"[19.666, 19.643]"
464,"[19.643, 19.648]"
465,"[19.648, 19.641]"
466,"[19.641, 19.642]"
467,"[19.642, 19.625]"
468,"[19.625, 19.657]"
469,"[19.657, 19.665]"
470,"[19.665, 19.671]"
471,"[19.671, 19.678]"
472,"[19.678, 19.674]"
473,"[19.674, 19.666]"
474,"[19.666, 19.685]"
475,"[19.685, 19.695]"
476,"[19.695, 19.696]"
477,"[19.696, 19.699]"
478,"[19.699, 19.709]"
479,"[19.709, 19.695]"
480,"[19.695, 19.688]"
481,"[19.688, 19.689]"
482,"[19.689, 19.692]"
483,"[19.692, 19.691]"
484,"[19.691, 19.705]"
485,"[19.705, 19.709]"
486,"[19.709, 19.692]"
487,"[19.692, 19.691]"
488,"[19.691, 19.694]"
489,"[19.694, 19.685]"
490,"[19.685, 19.659]"
491,"[19.659, 19.643]"
492,"[19.643, 19.623]"
493,"[19.623, 19.597]"
494,"[19.597, 19.587]"
495,"[19.587, 19.598]"
496,"[19.598, 19.597]"
497,"[19.597, 19.602]"
498,"[19.602, 19.621]"
499,"[19.621, 19.611]"
500,"[19.611, 19.614]"
501,"[19.614, 19.616]"
502,"[19.616, 19.623]"
503,"[19.623, 19.621]"
504,"[19.621, 19.579]"
505,"[19.579, 19.529]"
506,"[19.529, 19.512]"
507,"[19.512, 19.466]"
508,"[19.466, 19.433]"
509,"[19.433, 19.458]"
510,"[19.458, 19.467]"
511,"[19.467, 19.496]"
512,"[19.496, 19.466]"
513,"[19.466, 19.47]"
514,"[19.47, 19.496]"
515,"[19.496, 19.474]"
516,"[19.474, 19.483]"
517,"[19.483, 19.481]"
518,"[19.481, 19.461]"
519,"[19.461, 19.448]"
520,"[19.448, 19.434]"
521,"[19.434, 19.428]"
522,"[19.428, 19.488]"
523,"[19.488, 19.498]"
524,"[19.498, 19.515]"
525,"[19.515, 19.542]"
526,"[19.542, 19.527]"
527,"[19.527, 19.513]"
528,"[19.513, 19.514]"
529,"[19.514, 19.519]"
530,"[19.519, 19.534]"
531,"[19.534, 19.552]"
532,"[19.552, 19.549]"
533,"[19.549, 19.562]"
534,"[19.562, 19.562]"
535,"[19.562, 19.548]"
536,"[19.548, 19.548]"
537,"[19.548, 19.564]"
538,"[19.564, 19.558]"
539,"[19.558, 19.585]"
540,"[19.585, 19.585]"
541,"[19.585, 19.584]"
542,"[19.584, 19.604]"
543,"[19.604, 19.594]"
544,"[19.594, 19.595]"
545,"[19.595, 19.594]"
546,"[19.594, 19.577]"
547,"[19.577, 19.581]"
548,"[19.581, 19.584]"
549,"[19.584, 19.599]"
550,"[19.599, 19.602]"
551,"[19.602, 19.603]"
552,"[19.603, 19.605]"
553,"[19.605, 19.599]"
554,"[19.599, 19.589]"
555,"[19.589, 19.594]"
556,"[19.594, 19.591]"
557,"[19.591, 19.614]"
558,"[19.614, 19.61]"
559,"[19.61, 19.611]"
560,"[19.611, 19.624]"
561,"[19.624, 19.64]"
562,"[19.64, 19.65]"
563,"[19.65, 19.642]"
564,"[19.642, 19.646]"
565,"[19.646, 19.666]"
566,"[19.666, 19.679]"
567,"[19.679, 19.669]"
568,"[19.669, 19.647]"
569,"[19.647, 19.653]"
570,"[19.653, 19.647]"
571,"[19.647, 19.613]"
572,"[19.613, 19.631]"
573,"[19.631, 19.633]"
574,"[19.633, 19.628]"
575,"[19.628, 19.612]"
576,"[19.612, 19.62]"
577,"[19.62, 19.625]"
578,"[19.625, 19.635]"
579,"[19.635, 19.656]"
580,"[19.656, 19.643]"
581,"[19.643, 19.643]"
582,"[19.643, 19.638]"
583,"[19.638, 19.643]"
584,"[19.643, 19.638]"
585,"[19.638, 19.631]"
586,"[19.631, 19.63]"
587,"[19.63, 19.631]"
588,"[19.631, 19.645]"
589,"[19.645, 19.643]"
590,"[19.643, 19.676]"
591,"[19.676, 19.675]"
592,"[19.675, 19.666]"
593,"[19.666, 19.671]"
594,"[19.671, 19.671]"
595,"[19.671, 19.684]"
596,"[19.684, 19.691]"
597,"[19.691, 19.675]"
598,"[19.675, 19.672]"
599,"[19.672, 19.685]"
600,"[19.685, 19.689]"
601,"[19.689, 19.683]"
602,"[19.683, 19.688]"
603,"[19.688, 19.686]"
604,"[19.686, 19.682]"
605,"[19.682, 19.684]"
606,"[19.684, 19.678]"
607,"[19.678, 19.696]"
608,"[19.696, 19.683]"
609,"[19.683, 19.691]"
610,"[19.691, 19.693]"
611,"[19.693, 19.721]"
612,"[19.721, 19.727]"
