,close
213,"[67.36, 67.34]"
214,"[67.34, 67.36]"
215,"[67.36, 67.34]"
216,"[67.34, 67.38]"
217,"[67.38, 67.27]"
218,"[67.27, 67.2]"
219,"[67.2, 67.23]"
220,"[67.23, 67.27]"
221,"[67.27, 67.28]"
222,"[67.28, 67.33]"
223,"[67.33, 67.36]"
224,"[67.36, 67.39]"
225,"[67.39, 67.39]"
226,"[67.39, 67.32]"
227,"[67.32, 67.38]"
228,"[67.38, 67.35]"
229,"[67.35, 67.37]"
230,"[67.37, 67.46]"
231,"[67.46, 67.45]"
232,"[67.45, 67.4]"
233,"[67.4, 67.4]"
234,"[67.4, 67.44]"
235,"[67.44, 67.45]"
236,"[67.45, 67.49]"
237,"[67.49, 67.48]"
238,"[67.48, 67.44]"
239,"[67.44, 67.44]"
240,"[67.44, 67.43]"
241,"[67.43, 67.48]"
242,"[67.48, 67.47]"
243,"[67.47, 67.51]"
244,"[67.51, 67.54]"
245,"[67.54, 67.57]"
246,"[67.57, 67.57]"
247,"[67.57, 67.61]"
248,"[67.61, 67.66]"
249,"[67.66, 67.57]"
250,"[67.57, 67.56]"
251,"[67.56, 67.59]"
252,"[67.59, 67.6]"
253,"[67.6, 67.59]"
254,"[67.59, 67.5]"
255,"[67.5, 67.48]"
256,"[67.48, 67.49]"
257,"[67.49, 67.42]"
258,"[67.42, 67.51]"
259,"[67.51, 67.54]"
260,"[67.54, 67.5]"
261,"[67.5, 67.45]"
262,"[67.45, 67.46]"
263,"[67.46, 67.52]"
264,"[67.52, 67.51]"
265,"[67.51, 67.44]"
266,"[67.44, 67.47]"
267,"[67.47, 67.46]"
268,"[67.46, 67.47]"
269,"[67.47, 67.46]"
270,"[67.46, 67.51]"
271,"[67.51, 67.42]"
272,"[67.42, 67.37]"
273,"[67.37, 67.37]"
274,"[67.37, 67.38]"
275,"[67.38, 67.43]"
276,"[67.43, 67.49]"
277,"[67.49, 67.43]"
278,"[67.43, 67.45]"
279,"[67.45, 67.46]"
280,"[67.46, 67.43]"
281,"[67.43, 67.48]"
282,"[67.48, 67.52]"
283,"[67.52, 67.53]"
284,"[67.53, 67.5]"
285,"[67.5, 67.47]"
286,"[67.47, 67.46]"
287,"[67.46, 67.45]"
288,"[67.45, 67.47]"
289,"[67.47, 67.47]"
290,"[67.47, 67.4]"
291,"[67.4, 67.36]"
292,"[67.36, 67.4]"
293,"[67.4, 67.53]"
294,"[67.53, 67.57]"
295,"[67.57, 67.59]"
296,"[67.59, 67.55]"
297,"[67.55, 67.61]"
298,"[67.61, 67.6]"
299,"[67.6, 67.58]"
300,"[67.58, 67.66]"
301,"[67.66, 67.62]"
302,"[67.62, 67.68]"
303,"[67.68, 67.66]"
304,"[67.66, 67.68]"
305,"[67.68, 67.65]"
306,"[67.65, 67.7]"
307,"[67.7, 67.73]"
308,"[67.73, 67.76]"
309,"[67.76, 67.77]"
310,"[67.77, 67.76]"
311,"[67.76, 67.79]"
312,"[67.79, 67.78]"
313,"[67.78, 67.74]"
314,"[67.74, 67.71]"
315,"[67.71, 67.71]"
316,"[67.71, 67.66]"
317,"[67.66, 67.66]"
318,"[67.66, 67.67]"
319,"[67.67, 67.66]"
320,"[67.66, 67.67]"
321,"[67.67, 67.68]"
322,"[67.68, 67.62]"
323,"[67.62, 67.65]"
324,"[67.65, 67.62]"
325,"[67.62, 67.54]"
326,"[67.54, 67.44]"
327,"[67.44, 67.61]"
328,"[67.61, 67.71]"
329,"[67.71, 67.73]"
330,"[67.73, 67.76]"
331,"[67.76, 67.77]"
332,"[67.77, 67.71]"
333,"[67.71, 67.74]"
334,"[67.74, 67.75]"
335,"[67.75, 67.78]"
336,"[67.78, 67.75]"
337,"[67.75, 67.69]"
338,"[67.69, 67.67]"
339,"[67.67, 67.69]"
340,"[67.69, 67.68]"
341,"[67.68, 67.65]"
342,"[67.65, 67.64]"
343,"[67.64, 67.69]"
344,"[67.69, 67.74]"
345,"[67.74, 67.74]"
346,"[67.74, 67.77]"
347,"[67.77, 67.76]"
348,"[67.76, 67.76]"
349,"[67.76, 67.77]"
350,"[67.77, 67.8]"
351,"[67.8, 67.83]"
352,"[67.83, 67.83]"
353,"[67.83, 67.87]"
354,"[67.87, 67.86]"
355,"[67.86, 67.95]"
356,"[67.95, 67.91]"
357,"[67.91, 67.9]"
358,"[67.9, 67.92]"
359,"[67.92, 67.92]"
360,"[67.92, 67.96]"
361,"[67.96, 67.95]"
362,"[67.95, 67.96]"
363,"[67.96, 67.93]"
364,"[67.93, 67.95]"
365,"[67.95, 67.94]"
366,"[67.94, 67.92]"
367,"[67.92, 67.87]"
368,"[67.87, 67.93]"
369,"[67.93, 67.92]"
370,"[67.92, 67.91]"
371,"[67.91, 67.89]"
372,"[67.89, 67.88]"
