,close
0,"[315.85, 318.85]"
1,"[318.85, 321.5]"
2,"[321.5, 322.35]"
3,"[322.35, 319.35]"
4,"[319.35, 319.75]"
5,"[319.75, 320.9]"
6,"[320.9, 315.1]"
7,"[315.1, 314.1]"
8,"[314.1, 316.6]"
9,"[316.6, 308.85]"
10,"[308.85, 319.3]"
11,"[319.3, 317.6]"
12,"[317.6, 321.2]"
13,"[321.2, 323.1]"
14,"[323.1, 318.0]"
15,"[318.0, 321.65]"
16,"[321.65, 319.15]"
17,"[319.15, 323.75]"
18,"[323.75, 322.35]"
19,"[322.35, 322.85]"
20,"[322.85, 323.7]"
21,"[323.7, 327.95]"
22,"[327.95, 326.95]"
23,"[326.95, 328.9]"
24,"[328.9, 325.8]"
25,"[325.8, 324.05]"
26,"[324.05, 312.1]"
27,"[312.1, 314.6]"
28,"[314.6, 312.4]"
29,"[312.4, 315.15]"
30,"[315.15, 316.95]"
31,"[316.95, 316.25]"
32,"[316.25, 317.9]"
33,"[317.9, 318.95]"
34,"[318.95, 314.8]"
35,"[314.8, 316.85]"
36,"[316.85, 317.65]"
37,"[317.65, 326.5]"
38,"[326.5, 338.0]"
39,"[338.0, 348.3]"
40,"[348.3, 354.25]"
41,"[354.25, 363.05]"
42,"[363.05, 360.05]"
43,"[360.05, 364.25]"
44,"[364.25, 366.2]"
45,"[366.2, 368.85]"
46,"[368.85, 366.75]"
47,"[366.75, 367.4]"
48,"[367.4, 364.95]"
49,"[364.95, 371.6]"
50,"[371.6, 370.0]"
51,"[370.0, 369.4]"
52,"[369.4, 368.3]"
53,"[368.3, 370.2]"
54,"[370.2, 376.3]"
55,"[376.3, 370.45]"
56,"[370.45, 372.0]"
57,"[372.0, 365.15]"
58,"[365.15, 361.2]"
59,"[361.2, 361.75]"
60,"[361.75, 361.6]"
61,"[361.6, 356.7]"
62,"[356.7, 356.9]"
63,"[356.9, 356.15]"
64,"[356.15, 353.25]"
65,"[353.25, 350.5]"
66,"[350.5, 352.85]"
67,"[352.85, 350.15]"
68,"[350.15, 350.8]"
69,"[350.8, 344.75]"
70,"[344.75, 345.6]"
71,"[345.6, 349.15]"
72,"[349.15, 346.85]"
73,"[346.85, 347.45]"
74,"[347.45, 353.25]"
75,"[353.25, 350.05]"
76,"[350.05, 348.5]"
77,"[348.5, 337.75]"
78,"[337.75, 339.65]"
